Contract,customerID,Dependents,DeviceProtection,gender,MonthlyCharges,InternetService,OnlineSecurity,PaperlessBilling,MultipleLines,Partner,OnlineBackup,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,tenure,TotalCharges
Month-to-month,0328-GRPMV,No,No,Female,70.1,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,No,No,No,1,70.1
Month-to-month,0329-GTIAJ,No,No,Female,97.9,Fiber optic,No,Yes,No,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,3,315.3
Month-to-month,0330-IVZHA,No,No,Female,69.95,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,5,330.15
Month-to-month,0334-GDDSO,No,No,Male,81.35,Fiber optic,No,Yes,Yes,No,Yes,Electronic check,Yes,1,No,No,No,3,233.7
Month-to-month,0337-CNPZE,No,Yes,Female,106.3,Fiber optic,No,Yes,Yes,No,Yes,Electronic check,Yes,0,Yes,Yes,No,41,4443.45
Month-to-month,0345-HKJVM,No,No,Female,89.3,Fiber optic,No,No,No,No,No,Electronic check,Yes,0,Yes,Yes,No,6,577.6
Month-to-month,0348-SDKOL,No,Yes,Female,102.1,Fiber optic,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,58,5885.4
Month-to-month,0354-WYROK,Yes,Yes,Female,98.9,Fiber optic,No,Yes,No,Yes,No,Electronic check,Yes,1,Yes,Yes,Yes,31,2911.3
Month-to-month,0362-ZBZWJ,No,No,Male,84.9,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,No,No,36,3067.2
Month-to-month,0363-QJVFX,No,No,Male,108.15,Fiber optic,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,32,3432.9
Month-to-month,0375-HVGXO,No,No,Female,34.7,DSL,No,Yes,No phone service,No,No,Electronic check,No,0,No,Yes,No,1,34.7
Month-to-month,0376-YMCJC,No,No,Male,90.6,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,No,Yes,Yes,23,1943.2
Month-to-month,0378-NHQXU,Yes,Yes,Female,88.25,Fiber optic,No,No,Yes,Yes,No,Electronic check,Yes,0,No,Yes,No,17,1460.65
Month-to-month,0378-TOVMS,No,No,Female,85.8,Fiber optic,No,No,No,No,No,Electronic check,Yes,0,Yes,No,Yes,3,272.2
Month-to-month,0388-EOPEX,No,No,Female,74.4,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,0,No,No,No,2,139.4
Month-to-month,0390-DCFDQ,No,No,Female,70.45,Fiber optic,No,Yes,No,Yes,No,Mailed check,Yes,1,No,No,No,1,70.45
Month-to-month,0397-GZBBC,No,No,Male,93.85,Fiber optic,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,1,Yes,Yes,No,59,5574.75
Month-to-month,0402-CQAJN,No,Yes,Female,101.9,Fiber optic,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,37,3545.35
Month-to-month,0404-SWRVG,No,No,Male,74.4,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,No,No,No,3,229.55
Month-to-month,0407-BDJKB,No,Yes,Male,95.75,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,Yes,No,60,5742.9
Month-to-month,0415-MOSGF,No,No,Female,44.4,DSL,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,44.4
Month-to-month,0420-BWTPW,Yes,No,Male,25.5,DSL,No,No,No phone service,No,No,Mailed check,No,0,No,No,No,8,215.2
Month-to-month,0426-TIRNE,No,No internet service,Female,20.9,No,No internet service,No,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,20.9
Month-to-month,0447-BEMNG,No,Yes,Female,45.3,DSL,Yes,Yes,No phone service,Yes,No,Bank transfer (automatic),No,0,Yes,No,No,48,2145
Month-to-month,0461-CVKMU,Yes,Yes,Female,83.8,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,0,No,No,Yes,23,1900.25
Month-to-month,0475-RIJEP,No,No,Male,77.85,Fiber optic,No,Yes,Yes,No,Yes,Electronic check,Yes,0,No,No,No,43,3365.85
Month-to-month,0486-HECZI,No,No,Male,96.75,Fiber optic,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,Yes,No,55,5238.9
Month-to-month,0488-GSLFR,No,No,Female,69.5,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,No,No,No,1,69.5
Month-to-month,0495-RVCBF,No,No,Female,79.7,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,No,No,1,79.7
Month-to-month,0495-ZBNGW,No,Yes,Male,79.9,Fiber optic,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,1,No,No,No,5,343.95
Month-to-month,0504-HHAPI,No,Yes,Female,88.3,Fiber optic,No,No,Yes,No,No,Credit card (automatic),Yes,1,Yes,No,No,27,2467.75
Month-to-month,0506-LVNGN,No,Yes,Female,75.55,Fiber optic,No,Yes,No,No,No,Credit card (automatic),Yes,1,No,No,No,5,349.65
Month-to-month,0511-JTEOY,No,No,Female,71.1,Fiber optic,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,71.1
Month-to-month,0515-YPMCW,Yes,No,Male,70.45,Fiber optic,No,Yes,No,No,No,Mailed check,Yes,0,No,No,No,1,70.45
Month-to-month,0516-WJVXC,No,No,Female,54.2,DSL,Yes,No,No,No,No,Electronic check,Yes,0,No,No,Yes,5,308.25
Month-to-month,0519-XUZJU,No,No,Female,70.75,Fiber optic,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,70.75
Month-to-month,0524-IAVZO,No,No,Female,85,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,0,Yes,No,No,30,2624.25
Month-to-month,0529-ONKER,No,No,Male,75.65,Fiber optic,No,No,Yes,No,No,Electronic check,Yes,1,No,No,No,15,1146.65
Month-to-month,0533-BNWKF,No,Yes,Female,85.45,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,1,No,No,No,55,4874.7
Month-to-month,0564-JJHGS,No,No,Male,95.5,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,Yes,No,9,829.1
Month-to-month,0568-ONFPC,Yes,No internet service,Male,25.9,No,No internet service,Yes,Yes,Yes,No internet service,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,5,135
Month-to-month,0576-WNXXC,No,Yes,Male,95.55,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,1,Yes,No,No,27,2510.2
Month-to-month,0578-SKVMF,Yes,No,Female,83.3,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,22,1845.9
Month-to-month,0587-DMGBH,No,No,Female,49.85,DSL,Yes,Yes,No,No,No,Electronic check,Yes,0,No,No,No,8,365.55
Month-to-month,0596-BQCEQ,Yes,Yes,Female,100.15,Fiber optic,No,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,62,6283.3
Month-to-month,0601-WZHJF,No,No,Male,46.35,DSL,No,No,No phone service,Yes,No,Electronic check,No,0,Yes,Yes,No,14,667.7
Month-to-month,0611-DFXKO,No,No,Male,89,Fiber optic,No,Yes,No,Yes,No,Mailed check,Yes,0,Yes,Yes,No,20,1820.45
Month-to-month,0612-RTZZA,No,No,Female,25.25,DSL,No,No,No phone service,No,No,Electronic check,No,1,No,No,No,1,25.25
Month-to-month,0616-ATFGB,No,No,Male,25.05,DSL,No,No,No phone service,Yes,No,Electronic check,No,1,No,No,No,1,25.05
Month-to-month,0617-FHSGK,Yes,No,Male,75.2,Fiber optic,No,No,Yes,No,No,Credit card (automatic),Yes,0,No,No,No,49,3678.3
Month-to-month,0618-XWMSS,Yes,No,Male,74.9,Fiber optic,Yes,Yes,No,No,No,Bank transfer (automatic),Yes,0,No,No,No,28,2068.55
Month-to-month,0621-TWIEM,No,No,Male,45.55,DSL,No,Yes,No,No,No,Electronic check,Yes,0,No,No,No,10,402.6
Month-to-month,0623-IIHUG,No,No,Female,41.9,DSL,Yes,Yes,No phone service,No,No,Electronic check,No,1,No,Yes,No,21,840.1
Month-to-month,0634-SZPQA,No,No,Female,90.05,Fiber optic,Yes,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,No,Yes,No,23,2169.8
Month-to-month,0637-KVDLV,No,No,Male,76.5,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,No,No,No,2,162.45
Month-to-month,0637-UBJRP,Yes,No,Male,84.05,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,No,No,13,1095.3
Month-to-month,0637-YLETY,No,Yes,Female,95.6,Fiber optic,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,No,No,16,1555.65
Month-to-month,0639-TSIQW,No,Yes,Female,102.95,Fiber optic,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,No,Yes,No,67,6886.25
Month-to-month,0643-OKLRP,No,No,Female,80.35,Fiber optic,Yes,No,Yes,Yes,No,Electronic check,Yes,1,No,No,No,47,3825.85
Month-to-month,0654-HMSHN,Yes,Yes,Male,104.4,Fiber optic,No,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,21,2157.95
Month-to-month,0655-RBDUG,No,Yes,Male,98.05,Fiber optic,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,7,713
Month-to-month,0661-XEYAN,No,No,Female,25.8,DSL,No,Yes,No phone service,No,No,Mailed check,No,1,No,No,No,1,25.8
Month-to-month,0679-IDSTG,Yes,No,Female,69.25,Fiber optic,No,Yes,No,Yes,No,Electronic check,Yes,1,No,No,No,1,69.25
Month-to-month,0680-DFNNY,No,Yes,Male,101.1,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,0,Yes,Yes,No,15,1504.05
Month-to-month,0684-AOSIH,No,No,Male,95,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,1,95
Month-to-month,0685-MLYYM,No,No,Female,70.75,Fiber optic,No,No,No,No,No,Electronic check,Yes,1,No,No,No,2,154.85
Month-to-month,0689-NKYLF,No,Yes,Male,83.2,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,No,Yes,No,13,1060.6
Month-to-month,0697-ZMSWS,No,No,Male,85.65,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,No,No,4,338.9
Month-to-month,0702-PGIBZ,Yes,No,Male,101.7,Fiber optic,No,Yes,Yes,No,Yes,Electronic check,Yes,0,Yes,Yes,No,4,364.55
Month-to-month,0709-TVGUR,No,No,Female,74.55,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,1,No,No,No,9,622.9
Month-to-month,0719-SYFRB,No,Yes,Female,61.65,DSL,Yes,Yes,Yes,No,No,Mailed check,Yes,0,No,No,Yes,12,713.75
Month-to-month,0722-TROQR,No,No,Female,74.9,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,1,No,No,No,4,321.75
Month-to-month,0723-DRCLG,No,No,Female,74.45,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,1,No,No,No,1,74.45
Month-to-month,0727-IWKVK,No,Yes,Male,79.9,Fiber optic,No,Yes,No,Yes,Yes,Electronic check,Yes,0,No,No,No,9,741.7
Month-to-month,0733-VUNUW,No,No,Male,55.65,DSL,Yes,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,No,No,No,24,1400.55
Month-to-month,0742-MOABM,No,No,Male,50.05,DSL,No,No,No,Yes,No,Mailed check,Yes,0,No,No,Yes,4,179.35
Month-to-month,0742-NXBGR,No,Yes,Female,82.3,Fiber optic,No,Yes,No,No,Yes,Electronic check,Yes,0,No,No,No,1,82.3
Month-to-month,0746-JTRFU,No,No,Male,25.05,DSL,No,Yes,No phone service,No,No,Electronic check,No,0,No,No,No,2,56.35
Month-to-month,0754-UKWQP,No,Yes,Male,95.85,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,No,2,197.7
Month-to-month,0761-AETCS,No,No internet service,Female,19.3,No,No internet service,No,No,No,No internet service,Electronic check,Yes,0,No internet service,No internet service,No internet service,1,19.3
Month-to-month,0772-GYEQQ,No,Yes,Male,88.35,Fiber optic,No,Yes,No,No,No,Mailed check,Yes,0,No,Yes,Yes,3,262.05
Month-to-month,0778-NELLA,No,No,Male,34.7,DSL,No,Yes,No phone service,No,No,Credit card (automatic),No,0,No,Yes,No,9,296.1
Month-to-month,0781-LKXBR,No,Yes,Male,100.5,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,1,Yes,Yes,No,9,918.6
Month-to-month,0786-VSSUD,No,No,Male,39,DSL,No,Yes,No phone service,No,Yes,Mailed check,No,1,No,Yes,No,16,679.85
Month-to-month,0807-ZABDG,Yes,No,Female,55.1,DSL,Yes,Yes,No,No,No,Mailed check,Yes,0,No,No,Yes,3,154.65
Month-to-month,0812-WUPTB,No,No,Male,70.85,Fiber optic,No,No,No,Yes,No,Mailed check,Yes,1,No,No,No,1,70.85
Month-to-month,0818-OCPZO,No,No,Male,81.45,Fiber optic,No,Yes,Yes,No,Yes,Electronic check,Yes,1,No,No,No,27,2122.05
Month-to-month,0822-GAVAP,No,No,Female,34.7,DSL,No,Yes,No phone service,No,No,Electronic check,No,0,Yes,No,No,2,62.25
Month-to-month,0823-HSCDJ,No,No,Male,49.15,DSL,No,Yes,No phone service,No,Yes,Electronic check,No,1,Yes,Yes,No,52,2550.9
Month-to-month,0836-SEYLU,No,No,Male,40.65,DSL,No,No,No phone service,Yes,No,Mailed check,No,0,No,Yes,Yes,9,328.95
Month-to-month,0841-NULXI,No,No,Male,35.55,DSL,No,Yes,No phone service,No,No,Electronic check,No,0,Yes,No,No,1,35.55
Month-to-month,0843-WTBXE,No,No,Male,85.45,Fiber optic,No,No,Yes,No,No,Bank transfer (automatic),Yes,0,No,Yes,No,53,4517.25
Month-to-month,0867-MKZVY,No,No,Female,82.4,Fiber optic,Yes,No,Yes,Yes,No,Electronic check,Yes,0,No,No,No,20,1592.35
Month-to-month,0870-VEMYL,No,No,Female,53.85,DSL,Yes,No,No,No,No,Credit card (automatic),Yes,0,No,No,Yes,5,259.8
Month-to-month,0871-URUWO,No,Yes,Male,102.25,Fiber optic,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,13,1359
Month-to-month,0872-NXJYS,No,No,Female,79.55,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,No,No,9,723.4
Month-to-month,0875-CABNR,No,Yes,Female,84.6,Fiber optic,No,Yes,No,No,No,Credit card (automatic),Yes,1,Yes,No,No,10,865.55
Month-to-month,0876-WDUUZ,No,No,Female,85.4,Fiber optic,No,Yes,No,No,No,Credit card (automatic),Yes,0,Yes,No,Yes,5,425.9
Month-to-month,0880-TKATG,Yes,Yes,Male,101.15,Fiber optic,No,No,Yes,Yes,No,Electronic check,Yes,0,Yes,Yes,No,4,385.9
Month-to-month,0883-EIBTI,No,No internet service,Female,19.5,No,No internet service,No,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,2,31.55
Month-to-month,0886-QGENL,No,Yes,Female,101.25,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,27,2754.45
Month-to-month,0887-HJGAR,No,No,Male,45.7,DSL,No,Yes,No,No,No,Mailed check,Yes,0,No,No,No,1,45.7
Month-to-month,0895-DQHEW,No,Yes,Male,104.3,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,54,5278.15
Month-to-month,0897-FEGMU,No,Yes,Female,99.5,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,0,Yes,Yes,No,11,1056.95
Month-to-month,0923-PNFUB,No,No,Female,83.75,Fiber optic,No,No,No,No,Yes,Electronic check,Yes,0,No,Yes,No,3,247.25
Month-to-month,0925-VYDLG,No,No,Female,75.25,Fiber optic,No,No,Yes,No,No,Electronic check,Yes,0,No,No,No,3,242
Month-to-month,0927-LCSMG,No,Yes,Male,74.65,Fiber optic,No,No,No,No,No,Mailed check,Yes,0,No,No,No,7,544.55
Month-to-month,0939-YAPAF,No,Yes,Female,100.25,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,Yes,No,35,3527.6
Month-to-month,0940-OUQEC,No,No,Male,80.7,Fiber optic,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,No,No,10,788.8
Month-to-month,0946-CLJTI,No,Yes,Male,98.7,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,1,Yes,Yes,No,58,5812.6
Month-to-month,0947-IDHRQ,No,No,Female,80.3,Fiber optic,No,Yes,No,No,No,Mailed check,Yes,0,No,Yes,No,7,526.7
Month-to-month,0947-MUGVO,No,No,Male,73.65,Fiber optic,No,Yes,No,Yes,Yes,Electronic check,Yes,1,No,No,No,20,1463.5
Month-to-month,0952-KMEEH,No,No,Male,98.15,Fiber optic,Yes,No,Yes,No,No,Mailed check,Yes,0,Yes,Yes,No,13,1230.25
Month-to-month,0963-ZBDRN,No,No,Male,96.2,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,32,3183.4
Month-to-month,0968-GSIKN,No,No,Female,70.8,Fiber optic,No,Yes,No,No,No,Mailed check,Yes,0,No,No,No,1,70.8
Month-to-month,0970-ETWGE,No,No,Male,89.55,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,No,1,89.55
Month-to-month,0979-PHULV,Yes,Yes,Male,99.45,Fiber optic,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,69,7007.6
Month-to-month,0991-BRRFB,No,No,Male,49.4,DSL,Yes,No,No,No,No,Electronic check,Yes,0,No,No,No,18,874.8
Month-to-month,1000-AJSLD,No,No internet service,Male,20.1,No,No internet service,Yes,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,20.1
Month-to-month,1009-IRMNA,No,No internet service,Female,20,No,No internet service,No,No,No,No internet service,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,7,137.6
Month-to-month,1010-DIAUQ,No,Yes,Male,96.5,Fiber optic,No,No,No,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,5,492.55
Month-to-month,1024-GUALD,No,No,Female,24.8,DSL,No,Yes,No phone service,Yes,No,Electronic check,No,0,No,No,No,1,24.8
Month-to-month,1024-VRZHF,No,No,Male,74.95,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,0,No,No,No,11,825.7
Month-to-month,1029-QFBEN,No,No internet service,Male,19.55,No,No internet service,No,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,19.55
Month-to-month,1031-IIDEO,No,No,Female,70.85,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,No,No,No,1,70.85
Month-to-month,1041-RXHRA,No,No,Female,70.25,Fiber optic,No,No,No,No,No,Bank transfer (automatic),Yes,0,No,No,No,41,2868.05
Month-to-month,1062-LHZOD,Yes,No,Male,69.9,Fiber optic,No,Yes,No,Yes,No,Mailed check,Yes,0,No,No,No,1,69.9
Month-to-month,1066-JKSGK,No,No internet service,Male,20.15,No,No internet service,No,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,20.15
Month-to-month,1069-XAIEM,No,No,Female,85.05,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,1,Yes,No,No,1,85.05
